category;code;description;country_code;source
ape;46.15Z;Intermédiaires du commerce en meubles, articles de ménage et quincaillerie;FR;insee
ape;46.16Z;Intermédiaires du commerce en textiles, habillement, fourrures, chaussures et articles en cuir;FR;insee
ape;46.17A;Centrales d'achat alimentaires;FR;insee
ape;46.17B;Autres intermédiaires du commerce en denrées, boissons et tabac;FR;insee
ape;46.18Z;Intermédiaires spécialisés dans le commerce d'autres produits spécifiques;FR;insee
ape;46.19A;Centrales d'achat non alimentaires;FR;insee
ape;46.19B;Autres intermédiaires du commerce en produits divers;FR;insee
ape;46.21Z;Commerce de gros (commerce interentreprises) de céréales, de tabac non manufacturé, de semences et d'aliments pour le bétail;FR;insee
ape;46.22Z;Commerce de gros (commerce interentreprises) de fleurs et plantes;FR;insee
ape;46.23Z;Commerce de gros (commerce interentreprises) d'animaux vivants;FR;insee
ape;46.24Z;Commerce de gros (commerce interentreprises) de cuirs et peaux;FR;insee
ape;46.31Z;Commerce de gros (commerce interentreprises) de fruits et légumes;FR;insee
ape;46.32A;Commerce de gros (commerce interentreprises) de viandes de boucherie;FR;insee
ape;46.32B;Commerce de gros (commerce interentreprises) de produits à base de viande;FR;insee
ape;46.32C;Commerce de gros (commerce interentreprises) de volailles et gibier;FR;insee
ape;46.33Z;Commerce de gros (commerce interentreprises) de produits laitiers, œufs, huiles et matières grasses comestibles;FR;insee
ape;46.34Z;Commerce de gros (commerce interentreprises) de boissons;FR;insee
ape;46.35Z;Commerce de gros (commerce interentreprises) de produits à base de tabac;FR;insee
ape;46.36Z;Commerce de gros (commerce interentreprises) de sucre, chocolat et confiserie;FR;insee
ape;46.37Z;Commerce de gros (commerce interentreprises) de café, thé, cacao et épices;FR;insee
ape;46.38A;Commerce de gros (commerce interentreprises) de poissons, crustacés et mollusques;FR;insee
ape;46.38B;Commerce de gros (commerce interentreprises) alimentaire spécialisé divers;FR;insee
ape;46.39A;Commerce de gros (commerce interentreprises) de produits surgelés;FR;insee
ape;46.39B;Commerce de gros (commerce interentreprises) alimentaire non spécialisé;FR;insee
ape;46.41Z;Commerce de gros (commerce interentreprises) de textiles;FR;insee
ape;46.42Z;Commerce de gros (commerce interentreprises) d'habillement et de chaussures;FR;insee
ape;46.43Z;Commerce de gros (commerce interentreprises) d'appareils électroménagers;FR;insee
ape;46.44Z;Commerce de gros (commerce interentreprises) de vaisselle, verrerie et produits d'entretien;FR;insee
ape;46.45Z;Commerce de gros (commerce interentreprises) de parfumerie et de produits de beauté;FR;insee
ape;46.46Z;Commerce de gros (commerce interentreprises) de produits pharmaceutiques;FR;insee
ape;46.47Z;Commerce de gros (commerce interentreprises) de meubles, de tapis et d'appareils d'éclairage;FR;insee
ape;46.48Z;Commerce de gros (commerce interentreprises) d'articles d'horlogerie et de bijouterie;FR;insee
ape;46.49Z;Commerce de gros (commerce interentreprises) d'autres biens domestiques;FR;insee
ape;46.51Z;Commerce de gros (commerce interentreprises) d'ordinateurs, d'équipements informatiques périphériques et de logiciels;FR;insee
ape;46.52Z;Commerce de gros (commerce interentreprises) de composants et d'équipements électroniques et de télécommunication;FR;insee
ape;46.61Z;Commerce de gros (commerce interentreprises) de matériel agricole;FR;insee
ape;46.62Z;Commerce de gros (commerce interentreprises) de machines-outils;FR;insee
ape;46.63Z;Commerce de gros (commerce interentreprises) de machines pour l'extraction, la construction et le génie civil;FR;insee
ape;46.64Z;Commerce de gros (commerce interentreprises) de machines pour l'industrie textile et l'habillement;FR;insee
ape;46.65Z;Commerce de gros (commerce interentreprises) de mobilier de bureau;FR;insee
